competir; contender, lidiar, rivalizar, emular
compilar; seleccionar, recolectar, coleccionar, reunir
complacer; agradar, contentar, gustar, satisfacer
complejo; difícil, complicado, arduo intrincado, enmarañado
complementar; auxiliar, completar, añadir
completar; concluir, ultimar, acabar, perfeccionar
complicar; enredar, obstaculizar, entorpecer, dificultar, embrollar
cómplice; partícipe, colaborador, coautor, codelincuente
componenda; arreglo, transacción, compromiso, chanchullo
compostura; reparación, restauración, arreglo, compaginación
comprender; entender, conocer abarcar, concebir, incluir
comprensión; penetración, entendimiento, agudeza, perspicacia, inteligencia, condescendencia
comprimir; apretar, prensar, estrujar, oprimir
compromiso; promesa, deber, pacto Apuro, embarazo, aprieto, riesgo
compulsar; confrontar, cotejar, comparar, colacionar
compunción; contrición, aflicción remordimiento, posar, tribulación
computar; contar, comprobar, calcular, computarizar, codificar
comunicación; escrito, comunicado, relación, oficio, sociabilidad
comunidad; corporación, vecindad, congregación, asociación
conato; indicio, amago, asomo, tentativa, intención
concatenar; encadenar, eslabonar conectar, enlazar, conexionar
concebir; comprender, imaginar, entender, idear Generar, dar forma
conceder; otorgar, asignar, admitir conferir, dar, asentir
concepción; proyecto, idea, concepto, juicio, noción, fecundación
concepto; idea, noción, conocimiento, opinión, hipótesis, juicio
concernir; atañer, corresponder, incumbir, pertenecer
conciencia; razón, juicio, responsabilidad, discernimiento, escrúpulo
concienzudo; responsable, juicioso cuidadoso, aplicado, esmerado
conciliación; avenencia, arreglo concordancia, semejanza
conciliar; concordar, ajustar, pacificar, asemejar, arreglar, asimilar
conciso; breve, corto, compendioso somero, sucinto, sumario, sobrio
cónclave; reunido, junta, congreso concentración
conclusión; final, término, consecuencia, resultado, resolución
concluyente; decisivo, determinante, definitivo, convincente
concomitante; concurrente, acompañante, concordante
concordar; concertar, convenir, pactar, admitir, armonizar, unir
concordia; armonía, conformidad, unido, hermandad, confraternidad
concreción; acumulación, apiñamiento, aglomeración, muchedumbre
concupiscencia; sexualidad, avidez, lascivia, apetito, sensualidad
concusión; conmoción sacudimiento, convulsión, prevaricación
condescender; complacer, tolerar, contemporizar, transigir
condición; índole, carácter, situación, requisito, estipulación, convenio
condonar; perdonar, absolver, dispensar, indultar, excusar
conducente; propio, adecuado, conveniente, procedente, útil
conducto; canal, vía, camino, sistema, tubo
confabular; conspirar, intrigar, conjurar, complotar
confeccionar; preparar, elaborar, fabricar, hacer, manufacturar
conferir; acordar, otorgar, asignar, conceder, dar, dispensar
confesión; declaración, confidencia, exteriorización, manifestación
confianza; seguridad, tranquilidad, esperanza, familiaridad
confiar; fiar, esperar, depositar, delegar, encomendar, entregar
configurar; conformar, figurar, plasmar, concordar
confirmar; corroborar, ratificar, revalidar, convalidar, asegurar, aseverar, reafirmar,
confiscar; decomisar, incautar ,apropiarse, adueñarse
conflictivo; intolerante, dificultoso, pugnante, complicado
confluir; converger, concurrir, coincidir, juntarse
conforme; acorde, concorde, ajustado, proporcionado, adaptado
confortar; animar, alentar, reanimar reconfortar, consolar, fortalecer, vigorizar
confrontar; comparar, cotejar, compulsar, colacionar
confusión; mezcolanza, perturbación, enredo, perplejidad, duda
congelar; helar, enfriar, cuajar, espesar
congénito; hereditario, innato, connatural, ingénito
congestionar; aglomerar, acumular, saturar
conglomerado; aglomerado, reunido, conglutinado, amontonado
congoja; angustia, inquietud, desconsuelo, aflicción, tribulación
congregar; juntar, reunir, agrupar, convocar
congruencia; oportunidad, conveniencia, pertinencia, coherencia
conjeturar; suponer, presumir, imaginar, sospechar
conjugar; unir, juntar, armonizar, relacionar
conjurar; evitar, alejar, remediar, exorcizar, invocar
conminar; amenazar, intimidar, apremiar, asustar, mandar
conmover; alterar, perturbar, impresionar, emocionar, agitar
connotado; relacionado, emparentado, allegado, reputado
conocer; saber, comprender, entender, percatarse, percibir
consabido; aludido, citado, mencionado, nombrado
consanguinidad; afinidad, parentesco, cognación, tronco
consecución; obtención, logro, alcance, éxito
consecuente; razonable, justo, lógico, reflexivo, siguiente
consejo; reunión, junta, parecer, sugestión, exhortación
consentimiento; consenso, permiso, venia, anuencia, autorización
consentir; acceder, autorizar, permitir, tolerar, condescender, admitir
conserje; mayordomo, bedel, ordenanza, vigilante
consigna; orden, regla, sistema, mandato
consolar; animar, alentar, confortar, tranquilizar, calmar
consolidar; asegurar, afianzar, afirmar, fortalecer
consorcio; compañía, sociedad, asociación, corporación
conspirar; tramar, maquinar, intrigar, confabular, complotar
constancia; tenacidad, persistencia, perseverancia, asiduidad, tesón
consternar; afligir, abatir, conturbar, desolar
constituir; formar, organizar, ordenar, instituir, fundar, establecer
constricción; encogimiento, apocamiento, acortamiento
